statistic,statistic_label,year,residence_adjustment_items,unit,value
EAA18C01,Carbon dioxide (CO2),2010,Total air emissions by resident units,Thousand Tonnes,49451.6603
EAA18C01,Carbon dioxide (CO2),2010,Air emissions by national residents abroad,Thousand Tonnes,8688.4895
EAA18C01,Carbon dioxide (CO2),2010,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,4600.9055
EAA18C01,Carbon dioxide (CO2),2010,Air emissions from land transport by residents abroad,Thousand Tonnes,513.3215
EAA18C01,Carbon dioxide (CO2),2010,Air emissions from water transport by residents abroad,Thousand Tonnes,4344.24475
EAA18C01,Carbon dioxide (CO2),2010,Air emissions from air transport by residents abroad,Thousand Tonnes,8175.168
EAA18C01,Carbon dioxide (CO2),2010,Air emissions by non-residents on the territory,Thousand Tonnes,1028.4261
EAA18C01,Carbon dioxide (CO2),2010,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,1028.4261
EAA18C01,Carbon dioxide (CO2),2010,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,514.21305
EAA18C01,Carbon dioxide (CO2),2010,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,41791.597
EAA18C01,Carbon dioxide (CO2),2010,Total air emissions as reported to CLRTAP,Thousand Tonnes,44187.8842
EAA18C01,Carbon dioxide (CO2),2011,Total air emissions by resident units,Thousand Tonnes,46584.1714
EAA18C01,Carbon dioxide (CO2),2011,Air emissions by national residents abroad,Thousand Tonnes,9568.199
EAA18C01,Carbon dioxide (CO2),2011,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,5031.3115
EAA18C01,Carbon dioxide (CO2),2011,Air emissions from land transport by residents abroad,Thousand Tonnes,494.424
EAA18C01,Carbon dioxide (CO2),2011,Air emissions from water transport by residents abroad,Thousand Tonnes,4784.0995
EAA18C01,Carbon dioxide (CO2),2011,Air emissions from air transport by residents abroad,Thousand Tonnes,9073.775
EAA18C01,Carbon dioxide (CO2),2011,Air emissions by non-residents on the territory,Thousand Tonnes,1038.1646
