"STATISTIC","Statistic Label","TLIST(A1)","Year","C02451V02968","County","UNIT","VALUE"
"ROA27C01","Fatal Collisions","2013","2013","-","All Counties","Number","179"
"ROA27C01","Fatal Collisions","2013","2013","01","Carlow","Number","1"
"ROA27C01","Fatal Collisions","2013","2013","02","Dublin","Number","18"
"ROA27C01","Fatal Collisions","2013","2013","03","Kildare","Number","13"
"ROA27C01","Fatal Collisions","2013","2013","04","Kilkenny","Number","4"
"ROA27C01","Fatal Collisions","2013","2013","05","Laois","Number","2"
"ROA27C01","Fatal Collisions","2013","2013","06","Longford","Number","2"
"ROA27C01","Fatal Collisions","2013","2013","07","Louth","Number","4"
"ROA27C01","Fatal Collisions","2013","2013","08","Meath","Number","9"
"ROA27C01","Fatal Collisions","2013","2013","09","Offaly","Number","4"
"ROA27C01","Fatal Collisions","2013","2013","10","Westmeath","Number","5"
"ROA27C01","Fatal Collisions","2013","2013","11","Wexford","Number","7"
"ROA27C01","Fatal Collisions","2013","2013","12","Wicklow","Number","6"
"ROA27C01","Fatal Collisions","2013","2013","13","Clare","Number","2"
"ROA27C01","Fatal Collisions","2013","2013","14","Cork","Number","18"
"ROA27C01","Fatal Collisions","2013","2013","15","Kerry","Number","13"
"ROA27C01","Fatal Collisions","2013","2013","16","Limerick","Number","5"
"ROA27C01","Fatal Collisions","2013","2013","17","Tipperary","Number","12"
"ROA27C01","Fatal Collisions","2013","2013","18","Waterford","Number","2"
"ROA27C01","Fatal Collisions","2013","2013","19","Galway","Number","13"
"ROA27C01","Fatal Collisions","2013","2013","20","Leitrim","Number","2"
"ROA27C01","Fatal Collisions","2013","2013","21","Mayo","Number","6"
"ROA27C01","Fatal Collisions","2013","2013","22","Roscommon","Number","4"
"ROA27C01","Fatal Collisions","2013","2013","23","Sligo","Number","4"
"ROA27C01","Fatal Collisions","2013","2013","24","Cavan","Number","3"
"ROA27C01","Fatal Collisions","2013","2013","25","Donegal","Number","12"
"ROA27C01","Fatal Collisions","2013","2013","26","Monaghan","Number","8"
